"Departamento","N° Distritos","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Amazonas","84","11.90","11.90","11.90","14.29","14.29","26.19","25.00","30.95","28.57","33.33","42.86","42.86","51.19","58.33","59.52","63.10","72.62","77.38","77.38"
"Ancash","166","16.87","18.67","19.28","20.48","19.28","21.69","23.49","25.90","31.93","36.14","51.20","56.02","65.66","75.30","75.30","80.72","86.14","90.96","90.96"
"Apurímac","80","11.25","12.50","12.50","12.50","12.50","17.50","18.75","20.00","26.25","33.75","79.52","80.95","90.48","89.29","90.48","88.10","90.48","94.12","94.12"
"Arequipa","109","22.94","31.19","30.28","33.03","34.86","38.53","41.28","46.79","49.54","50.46","53.21","61.47","66.06","75.23","78.90","84.40","89.91","90.83","90.83"
"Ayacucho","111","12.61","14.41","13.51","14.29","18.75","17.12","18.92","25.23","38.39","42.86","54.24","59.66","77.31","77.31","78.99","81.51","77.31","82.26","82.26"
"Cajamarca","127","18.90","19.69","20.47","23.62","25.20","29.92","31.50","36.22","44.88","54.33","69.29","79.53","91.34","90.55","95.28","97.64","98.43","97.64","97.64"
"Callao","6","83.33","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00","85.71","85.71","100.00","100.00","100.00","100.00","100.00","100.00","100.00"
"Cusco","108","15.74","22.22","22.22","22.22","24.07","27.78","29.63","32.41","44.44","52.78","80.18","88.39","94.64","96.43","98.21","97.32","97.32","97.41","97.41"
"Huancavelica","94","10.64","10.64","10.64","10.53","11.58","17.02","19.15","20.21","38.95","45.26","60.61","63.00","80.00","86.00","87.00","88.00","92.00","87.25","87.25"
"Huánuco","76","15.79","17.11","17.11","19.48","19.48","19.74","19.74","26.32","38.96","42.86","54.88","61.90","78.57","83.33","86.90","86.90","94.05","96.43","96.43"
"Ica","43","16.28","30.23","34.88","46.51","46.51","55.81","58.14","67.44","74.42","74.42","74.42","79.07","81.40","83.72","83.72","86.05","88.37","90.70","90.70"
"Junín","124","13.71","16.13","16.94","22.13","22.95","32.26","33.06","36.29","40.16","41.80","54.03","60.48","79.84","71.77","79.03","79.84","87.90","89.52","89.52"
"La Libertad","83","32.53","36.14","36.14","39.76","40.96","40.96","43.37","45.78","54.22","60.24","65.06","67.47","75.90","83.13","83.13","83.13","84.34","85.71","85.71"
"Lambayeque","38","52.63","55.26","68.42","78.95","81.58","81.58","84.21","86.84","89.47","89.47","89.47","92.11","100.00","100.00","100.00","100.00","100.00","100.00","100.00"
"Lima","171","31.58","38.60","39.77","40.94","43.86","46.20","47.95","49.12","50.88","50.29","53.80","61.40","64.91","71.35","71.93","71.93","69.59","74.85","74.85"
"Loreto","51","15.69","19.61","19.61","21.57","21.57","27.45","29.41","33.33","35.29","39.22","43.40","47.17","62.26","56.60","56.60","69.81","73.58","75.47","75.47"
"Madre de Dios","11","18.18","18.18","27.27","27.27","36.36","54.55","72.73","72.73","72.73","81.82","81.82","81.82","90.91","90.91","90.91","90.91","100.00","100.00","100.00"
"Moquegua","20","25.00","25.00","25.00","25.00","25.00","40.00","40.00","50.00","45.00","45.00","60.00","75.00","80.00","80.00","85.00","90.00","90.00","95.24","95.24"
"Pasco","28","32.14","32.14","39.29","41.38","41.38","50.00","50.00","53.57","62.07","68.97","75.86","86.21","100.00","93.10","96.55","96.55","100.00","100.00","100.00"
"Piura","64","50.00","48.44","48.44","53.13","54.69","64.06","76.56","85.94","93.75","93.75","100.00","100.00","98.46","98.46","98.46","98.46","100.00","100.00","100.00"
"Puno","109","17.43","17.43","17.43","17.43","19.27","19.27","22.02","28.44","34.86","45.87","76.15","77.27","92.73","92.73","92.73","93.64","96.36","97.27","97.27"
"San Martín","77","16.88","18.18","19.48","20.78","20.78","31.17","32.47","40.26","51.95","59.74","74.03","77.92","93.51","94.81","94.81","93.51","98.70","100.00","100.00"
"Tacna","27","22.22","29.63","33.33","33.33","33.33","40.74","37.04","40.74","44.44","44.44","42.86","75.00","78.57","82.14","85.71","85.71","85.71","89.29","89.29"
"Tumbes","13","23.08","30.77","30.77","38.46","53.85","53.85","61.54","76.92","100.00","100.00","92.31","100.00","100.00","100.00","100.00","100.00","100.00","100.00","100.00"
"Ucayali","15","26.67","40.00","33.33","40.00","40.00","46.67","53.33","53.33","73.33","73.33","82.35","82.35","82.35","94.12","94.12","100.00","100.00","100.00","100.00"
"Nacional","1,835","20.71","23.81","24.58","26.84","28.14","32.64","34.71","38.96","46.11","50.57","63.47","69.00","79.40","82.02","83.78","85.54","88.26","90.22","90.22"
